Iteration,Memory Allocated,Memory Cached
0,1.1471,1.1621
1,1.1471,1.1621
2,1.1471,1.1621
3,1.1471,1.1621
4,1.1471,1.1621
5,1.1471,1.1621
6,1.1471,1.1621
7,1.1471,1.1621
8,1.1471,1.1621
9,1.1471,1.1621
10,1.1471,1.1621
11,1.1471,1.1621
12,1.1471,1.1621
13,1.1471,1.1621
14,1.1471,1.1621
15,1.1471,1.1621
16,1.1471,1.1621
17,1.1471,1.1621
18,1.1471,1.1621
19,1.1471,1.1621
20,1.1471,1.1621
21,1.1471,1.1621
22,1.1471,1.1621
23,1.1471,1.1621
24,1.1471,1.1621
25,1.1471,1.1621
26,1.1471,1.1621
27,1.1471,1.1621
28,1.1471,1.1621
29,1.1471,1.1621
30,1.1471,1.1621
31,1.1471,1.1621
32,1.1471,1.1621
33,1.1471,1.1621
34,1.1471,1.1621
35,1.1471,1.1621
36,1.1471,1.1621
Iteration,Memory Allocated,Memory Cached
0,1.1471,1.1621
1,1.1471,1.1621
2,1.1471,1.1621
3,1.1471,1.1621
4,1.1471,1.1621
5,1.1471,1.1621
6,1.1471,1.1621
7,1.1471,1.1621
8,1.1471,1.1621
9,1.1471,1.1621
10,1.1471,1.1621
11,1.1471,1.1621
12,1.1471,1.1621
13,1.1471,1.1621
14,1.1471,1.1621
15,1.1471,1.1621
16,1.1471,1.1621
17,1.1471,1.1621
18,1.1471,1.1621
19,1.1471,1.1621
20,1.1471,1.1621
21,1.1471,1.1621
22,1.1471,1.1621
23,1.1471,1.1621
24,1.1471,1.1621
25,1.1471,1.1621
26,1.1471,1.1621
27,1.1471,1.1621
28,1.1471,1.1621
29,1.1471,1.1621
30,1.1471,1.1621
31,1.1471,1.1621
32,1.1471,1.1621
33,1.1471,1.1621
34,1.1471,1.1621
35,1.1471,1.1621
36,1.1471,1.1621
37,1.1471,1.1621
38,1.1471,1.1621
39,1.1471,1.1621
40,1.1471,1.1621
41,1.1471,1.1621
42,1.1471,1.1621
43,1.1471,1.1621
44,1.1471,1.1621
45,1.1471,1.1621
46,1.1471,1.1621
47,1.1471,1.1621
48,1.1471,1.1621
49,1.1471,1.1621
50,1.1471,1.1621
51,1.1471,1.1621
52,1.1471,1.1621
53,1.1471,1.1621
54,1.1471,1.1621
55,1.1471,1.1621
56,1.1471,1.1621
57,1.1471,1.1621
58,1.1471,1.1621
59,1.1471,1.1621
60,1.1471,1.1621
61,1.1471,1.1621
62,1.1471,1.1621
63,1.1471,1.1621
64,1.1471,1.1621
65,1.1471,1.1621
66,1.1471,1.1621
67,1.1471,1.1621
68,1.1471,1.1621
69,1.1471,1.1621
70,1.1471,1.1621
71,1.1471,1.1621
72,1.1471,1.1621
73,1.1471,1.1621
74,1.1471,1.1621
75,1.1471,1.1621
76,1.1471,1.1621
77,1.1471,1.1621
78,1.1471,1.1621
79,1.1471,1.1621
