client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,476,84,1156,475,338,397,98,260,315,601
0,test_set,1800,201,33,472,220,150,173,46,119,147,239
1,train_set,4200,416,1206,558,99,91,96,110,343,929,352
1,test_set,1800,171,520,228,40,45,48,48,174,372,154
2,train_set,4200,264,818,342,256,979,50,207,335,788,161
2,test_set,1800,109,342,136,116,421,18,94,131,355,78
3,train_set,4200,354,223,145,230,922,210,875,168,478,595
3,test_set,1800,142,98,57,94,380,97,415,72,185,260
4,train_set,4200,401,541,24,997,20,502,891,448,37,339
4,test_set,1800,182,228,10,477,11,200,369,187,15,121
5,train_set,4200,54,144,255,13,9,770,68,1031,584,1272
5,test_set,1800,22,61,93,5,2,301,30,472,270,544
6,train_set,4200,72,43,520,63,1193,1270,0,135,273,631
6,test_set,1800,29,22,201,19,540,540,0,52,114,283
7,train_set,4200,236,267,592,1152,404,4,912,87,335,211
7,test_set,1800,114,142,236,495,149,3,415,42,129,75
8,train_set,4200,1924,553,484,334,181,350,204,23,89,58
8,test_set,1800,802,259,186,145,70,169,95,12,37,25
9,train_set,4200,24,286,216,541,60,576,789,1328,379,1
9,test_set,1800,7,130,89,229,35,226,334,581,169,0
