coalition,value,iteration
"(2, 9, 1, 6, 3, 8, 5, 7, 4, 0)",0.1,0
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1,0
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1,0
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1,0
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1,0
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1,0
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,0
"(5, 9, 6, 2, 0, 1, 7, 3, 4, 8)",0.1027,1
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1082,1
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1,1
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1141,1
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1,1
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1313,1
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,1
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1296,1
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1104,1
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1,1
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1063,1
"(2, 5, 1, 0, 3, 6, 8, 7, 4, 9)",0.1005,2
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1083,2
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1002,2
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1006,2
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1008,2
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1018,2
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1001,2
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1002,2
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1006,2
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1027,2
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1001,2
"(8, 4, 5, 1, 0, 7, 6, 2, 3, 9)",0.1328,3
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1283,3
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1429,3
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1214,3
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1509,3
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.134,3
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.129,3
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1205,3
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1438,3
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1428,3
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1272,3
"(5, 3, 2, 8, 0, 7, 9, 6, 1, 4)",0.1742,4
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1785,4
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1623,4
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1772,4
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1814,4
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.174,4
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1766,4
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1742,4
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.182,4
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1754,4
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1845,4
"(6, 8, 2, 4, 3, 0, 5, 9, 7, 1)",0.26,5
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.2592,5
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.2574,5
