client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,399,421,414,416,421,443,407,432,409,438
0,test_set,1800,167,194,186,163,178,163,176,185,205,183
1,train_set,4200,396,433,405,435,431,412,420,409,432,427
1,test_set,1800,193,173,172,194,186,163,195,181,177,166
2,train_set,4200,415,426,440,413,390,424,423,427,437,405
2,test_set,1800,187,171,187,164,182,182,173,177,195,182
3,train_set,4200,431,436,387,431,444,407,436,392,412,424
3,test_set,1800,195,159,177,201,194,164,174,194,179,163
4,train_set,4200,424,403,419,439,414,436,451,419,396,399
4,test_set,1800,180,185,167,183,207,184,176,172,164,182
5,train_set,4200,425,408,425,411,397,428,414,429,443,420
5,test_set,1800,170,173,198,173,188,176,170,192,172,188
6,train_set,4200,394,399,431,443,441,421,409,407,426,429
6,test_set,1800,190,203,182,168,183,177,176,185,154,182
7,train_set,4200,434,410,450,386,375,419,422,439,428,437
7,test_set,1800,178,206,163,179,190,195,158,168,179,184
8,train_set,4200,419,413,434,411,393,434,425,414,420,437
8,test_set,1800,206,182,165,182,174,177,179,169,180,186
9,train_set,4200,403,405,417,443,436,407,428,449,413,399
9,test_set,1800,194,200,181,165,176,188,188,160,179,169
