client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,363,377,356,345,378,356,310,369,332,314
0,test_set,1500,149,137,141,140,161,153,174,138,144,163
1,train_set,3500,352,353,375,312,349,350,354,385,338,332
1,test_set,1500,152,152,163,140,152,149,140,147,152,153
2,train_set,3500,360,378,322,358,378,342,341,335,336,350
2,test_set,1500,164,131,145,153,171,146,126,157,152,155
3,train_set,3500,360,343,370,320,335,348,339,381,336,368
3,test_set,1500,141,139,149,140,155,155,161,130,157,173
4,train_set,3500,344,355,341,334,335,366,382,352,358,333
4,test_set,1500,120,153,147,146,155,183,158,145,136,157
5,train_set,3500,345,342,347,369,351,347,336,357,356,350
5,test_set,1500,153,142,176,157,138,134,153,154,149,144
6,train_set,3500,361,339,334,358,324,321,369,385,352,357
6,test_set,1500,165,170,151,156,154,120,160,144,134,146
7,train_set,3500,362,337,348,343,342,368,367,314,369,350
7,test_set,1500,160,157,142,166,138,161,159,153,135,129
8,train_set,3500,318,344,350,411,346,358,329,323,383,338
8,test_set,1500,141,160,135,154,154,154,136,158,153,155
9,train_set,3500,340,324,361,345,355,334,344,328,379,390
9,test_set,1500,150,167,147,153,129,155,162,145,149,143
