client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,61,1521,66,146,789,93,33,1351,64,76
0,test_set,1800,24,665,27,68,327,50,25,560,20,34
1,train_set,4200,1375,4,271,838,0,2,940,304,348,118
1,test_set,1800,595,1,119,337,2,2,402,148,141,53
2,train_set,4200,866,240,725,295,382,840,330,42,125,355
2,test_set,1800,353,90,313,112,175,376,158,14,57,152
3,train_set,4200,280,169,207,424,1431,33,122,165,1232,137
3,test_set,1800,112,75,86,197,608,21,36,79,530,56
4,train_set,4200,84,630,312,21,90,895,671,560,125,812
4,test_set,1800,44,288,131,6,36,368,295,229,47,356
5,train_set,4200,74,201,1501,114,194,1098,383,24,483,128
5,test_set,1800,28,89,642,40,91,487,174,10,172,67
6,train_set,4200,402,462,47,1512,497,94,192,390,583,21
6,test_set,1800,191,187,20,644,198,41,80,195,237,7
7,train_set,4200,122,232,421,7,602,775,641,72,251,1077
7,test_set,1800,52,105,174,5,249,344,294,21,97,459
8,train_set,4200,734,296,569,290,108,41,99,1078,977,8
8,test_set,1800,327,108,245,132,44,20,54,441,420,9
9,train_set,4200,185,484,91,563,117,302,737,219,60,1442
9,test_set,1800,91,153,33,249,60,118,334,98,31,633
