client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,210,18,9,239,131,557,1405,2,1191,438
0,test_set,1800,102,12,3,108,59,214,596,1,480,225
1,train_set,4200,19,175,864,201,1201,5,1171,288,215,61
1,test_set,1800,5,54,361,73,543,6,490,122,126,20
2,train_set,4200,1035,33,1767,279,6,19,62,337,188,474
2,test_set,1800,420,9,763,125,0,6,21,160,76,220
3,train_set,4200,55,776,221,113,466,319,23,1754,113,360
3,test_set,1800,28,318,109,46,191,122,15,771,49,151
4,train_set,4200,686,716,56,1162,3,0,195,232,1128,22
4,test_set,1800,302,307,19,507,0,1,96,93,473,2
5,train_set,4200,5,315,627,935,1157,9,21,1,8,1122
5,test_set,1800,1,152,292,366,496,2,10,0,8,473
6,train_set,4200,58,105,220,1010,261,1442,41,391,68,604
6,test_set,1800,20,39,107,438,102,611,13,168,28,274
7,train_set,4200,1458,505,377,192,435,352,27,17,368,469
7,test_set,1800,633,193,151,90,189,184,11,6,137,206
8,train_set,4200,405,1150,8,129,423,108,1213,180,25,559
8,test_set,1800,183,466,4,59,169,43,508,87,12,269
9,train_set,4200,213,970,0,43,5,979,0,1151,839,0
9,test_set,1800,85,429,0,16,5,442,0,504,319,0
