,algorithm,dataset_name,insertion,deletion
0,baseline,MNIST overlaping balanced,0.4939359022933349,0.4857843725952479
1,briggs,MNIST overlaping balanced,0.4362510208619974,0.5271499524686761
2,sattler,MNIST overlaping balanced,0.5057056193524665,0.4872824750902593
3,kmeans,MNIST overlaping balanced,0.6459638264340265,0.3712632475229632
4,affinity,MNIST overlaping balanced,0.5626111297878619,0.4508944402696868
5,meanshift,MNIST overlaping balanced,0.636235937720112,0.399755333207305
6,HDBSCAN,MNIST overlaping balanced,0.6083430723538147,0.38515360032258333
7,baseline,MNIST overlaping imbalanced,0.603325548713429,0.4031948319179824
8,briggs,MNIST overlaping imbalanced,0.6743381656750866,0.3405230775294666
9,sattler,MNIST overlaping imbalanced,0.6725664606385385,0.345675535372536
10,kmeans,MNIST overlaping imbalanced,0.627138356824412,0.39807499805368657
11,affinity,MNIST overlaping imbalanced,0.582573776640825,0.4751256176485025
12,meanshift,MNIST overlaping imbalanced,0.6139714367682644,0.4915099465145493
13,HDBSCAN,MNIST overlaping imbalanced,0.6204198409784166,0.40241650879172924
14,baseline,MNIST nonoverlaping balanced,0.5854536635522293,0.3387246688543754
15,briggs,MNIST nonoverlaping balanced,0.6149109819118593,0.2976240833899473
16,sattler,MNIST nonoverlaping balanced,0.6222225273327013,0.3149871770664238
17,kmeans,MNIST nonoverlaping balanced,0.6570287789504782,0.45350227463467796
18,affinity,MNIST nonoverlaping balanced,0.6279763095444124,0.32166793886428524
19,meanshift,MNIST nonoverlaping balanced,0.6602951175915871,0.4497294258082339
20,HDBSCAN,MNIST nonoverlaping balanced,0.6441498343959658,0.4664781719606202
21,baseline,MNIST nonoverlaping imbalanced,0.6755974826818361,0.2515636263550775
22,briggs,MNIST nonoverlaping imbalanced,0.7009318134142567,0.2656187572840328
23,sattler,MNIST nonoverlaping imbalanced,0.6821809520162977,0.2673480368452223
24,kmeans,MNIST nonoverlaping imbalanced,0.6658086776947171,0.4856484236406828
25,affinity,MNIST nonoverlaping imbalanced,0.6591857573438635,0.29813516467810197
26,meanshift,MNIST nonoverlaping imbalanced,0.6770331628159011,0.5128887919519515
27,HDBSCAN,MNIST nonoverlaping imbalanced,0.6518988877177428,0.4965374995312799
28,baseline,FMNIST overlaping balanced,0.4739056889401747,0.4537271981159408
29,briggs,FMNIST overlaping balanced,0.4663180917109629,0.4561644238786403
30,sattler,FMNIST overlaping balanced,0.4159478684408681,0.6581057289233402
31,kmeans,FMNIST overlaping balanced,0.6336528152586755,0.47743610225534544
32,affinity,FMNIST overlaping balanced,0.4218858181590226,0.643207847096084
33,meanshift,FMNIST overlaping balanced,0.6536176972330038,0.463827898444826
34,HDBSCAN,FMNIST overlaping balanced,0.5994811950636184,0.5046346767353396
35,baseline,FMNIST overlaping imbalanced,0.5331710254566199,0.3317671029539012
36,briggs,FMNIST overlaping imbalanced,0.5259275003074575,0.3402835323317446
37,sattler,FMNIST overlaping imbalanced,0.5500559194127939,0.4006075504631374
38,kmeans,FMNIST overlaping imbalanced,0.6090729210588667,0.4894762483516792
39,affinity,FMNIST overlaping imbalanced,0.5321731749674258,0.5346516110597026
40,meanshift,FMNIST overlaping imbalanced,0.6188496249270893,0.5472248823702363
41,HDBSCAN,FMNIST overlaping imbalanced,0.6712002785309156,0.4297904975523745
42,baseline,FMNIST nonoverlaping balanced,0.4685898816826565,0.3597408761288482
43,briggs,FMNIST nonoverlaping balanced,0.5666589914718079,0.3647549627883631
44,sattler,FMNIST nonoverlaping balanced,0.5459402030165479,0.3720119615987554
45,kmeans,FMNIST nonoverlaping balanced,0.7385952368783729,0.5774970264076047
46,affinity,FMNIST nonoverlaping balanced,0.5282740959970267,0.532327811658982
47,meanshift,FMNIST nonoverlaping balanced,0.7302960939159311,0.5910230650898431
48,HDBSCAN,FMNIST nonoverlaping balanced,0.7387118101965068,0.6455400000670602
49,baseline,FMNIST nonoverlaping imbalanced,0.5453827018841714,0.3397849041962378
50,briggs,FMNIST nonoverlaping imbalanced,0.5176633348860873,0.3367730587876277
51,sattler,FMNIST nonoverlaping imbalanced,0.5641382843804373,0.454192368748782
52,kmeans,FMNIST nonoverlaping imbalanced,0.7438868561006045,0.6562316124337836
53,affinity,FMNIST nonoverlaping imbalanced,0.6049842019132821,0.5145021260073944
54,meanshift,FMNIST nonoverlaping imbalanced,0.7433845008798747,0.7098484080699574
55,HDBSCAN,FMNIST nonoverlaping imbalanced,0.7987059348187072,0.5779128969161943
56,baseline,CIFAR10 overlaping balanced,0.3913326012622186,0.2239097311644178
57,briggs,CIFAR10 overlaping balanced,0.46131506313785486,0.34620806378008134
58,sattler,CIFAR10 overlaping balanced,0.3967792131031686,0.241512267884372
59,kmeans,CIFAR10 overlaping balanced,0.3988585395259776,0.3294644831132523
60,affinity,CIFAR10 overlaping balanced,0.3999379541418784,0.25386706985536583
61,meanshift,CIFAR10 overlaping balanced,0.3817890311067191,0.238694589064473
62,HDBSCAN,CIFAR10 overlaping balanced,0.38913681035038383,0.29515349477496455
63,baseline,CIFAR10 overlaping imbalanced,0.3680896168992543,0.2878870697494027
64,briggs,CIFAR10 overlaping imbalanced,0.4949468735975644,0.4169791652533659
65,sattler,CIFAR10 overlaping imbalanced,0.3689745898265131,0.2638128095337315
66,kmeans,CIFAR10 overlaping imbalanced,0.43353880553094754,0.35218863394654804
67,affinity,CIFAR10 overlaping imbalanced,0.45252037356592034,0.3748254121735909
68,meanshift,CIFAR10 overlaping imbalanced,0.42009072844544626,0.365926617828734
69,HDBSCAN,CIFAR10 overlaping imbalanced,0.42400448791615997,0.3679543195266815
70,baseline,CIFAR10 nonoverlaping balanced,0.3636424589784953,0.2387286441504723
71,briggs,CIFAR10 nonoverlaping balanced,0.5672318532868151,0.5137664154754952
72,sattler,CIFAR10 nonoverlaping balanced,0.3239364606425332,0.2072979927587946
73,kmeans,CIFAR10 nonoverlaping balanced,0.4403214650022686,0.41520883018800925
74,affinity,CIFAR10 nonoverlaping balanced,0.3190972220774303,0.2517406167962862
75,meanshift,CIFAR10 nonoverlaping balanced,0.519348227374372,0.48429785425087857
76,HDBSCAN,CIFAR10 nonoverlaping balanced,0.47854663750713317,0.47603763513117453
77,baseline,CIFAR10 nonoverlaping imbalanced,0.3727009629991185,0.2529698358017867
78,briggs,CIFAR10 nonoverlaping imbalanced,0.5896045916097031,0.5382932333111026
79,sattler,CIFAR10 nonoverlaping imbalanced,0.3649116961061718,0.2581372970065403
80,kmeans,CIFAR10 nonoverlaping imbalanced,0.5582468657094745,0.48649130173904265
81,affinity,CIFAR10 nonoverlaping imbalanced,0.3879502957701792,0.2723070318698972
82,meanshift,CIFAR10 nonoverlaping imbalanced,0.5970454264392637,0.5433988402521754
83,HDBSCAN,CIFAR10 nonoverlaping imbalanced,0.5980996221882083,0.5714005787200365
84,baseline,PATHMNIST overlaping balanced,0.2250952815892318,0.2018243675262755
85,briggs,PATHMNIST overlaping balanced,0.19603967908460243,0.1700167191693503
86,sattler,PATHMNIST overlaping balanced,0.1700862235380927,0.1786525739381168
87,kmeans,PATHMNIST overlaping balanced,0.22520802167420986,0.1962775691579842
88,affinity,PATHMNIST overlaping balanced,0.1915099514130587,0.1617726284651112
89,meanshift,PATHMNIST overlaping balanced,0.21937001053135297,0.1861808037897233
90,HDBSCAN,PATHMNIST overlaping balanced,0.2355157161725159,0.19856339378680044
91,baseline,PATHMNIST overlaping imbalanced,0.1981678301914176,0.192229054393046
92,briggs,PATHMNIST overlaping imbalanced,0.4369102880495281,0.42311413800419856
93,sattler,PATHMNIST overlaping imbalanced,0.3426144939659429,0.3216112141914298
94,kmeans,PATHMNIST overlaping imbalanced,0.36584430668067514,0.35235636587912295
95,affinity,PATHMNIST overlaping imbalanced,0.4019354893917698,0.3975389875688433
96,meanshift,PATHMNIST overlaping imbalanced,0.34352578244993,0.33128954327184523
97,HDBSCAN,PATHMNIST overlaping imbalanced,0.3810661170033278,0.3638156485676653
98,baseline,PATHMNIST nonoverlaping balanced,0.1465166044621924,0.1617063419833151
99,briggs,PATHMNIST nonoverlaping balanced,0.37629381979770876,0.36811185476650155
100,sattler,PATHMNIST nonoverlaping balanced,0.1632245183946803,0.144459585133883
101,kmeans,PATHMNIST nonoverlaping balanced,0.36033692713588567,0.34096811667907906
102,affinity,PATHMNIST nonoverlaping balanced,0.2176592557864916,0.20909459678689568
103,meanshift,PATHMNIST nonoverlaping balanced,0.3236239166494851,0.3181159696451385
104,HDBSCAN,PATHMNIST nonoverlaping balanced,0.3460216234905784,0.33321909745036793
105,baseline,PATHMNIST nonoverlaping imbalanced,0.1396766261053077,0.1081714350819453
106,briggs,PATHMNIST nonoverlaping imbalanced,0.4535920385448877,0.43068281359147387
107,sattler,PATHMNIST nonoverlaping imbalanced,0.4128010497189803,0.4307615940540925
108,kmeans,PATHMNIST nonoverlaping imbalanced,0.5745763901829721,0.5630183531796679
109,affinity,PATHMNIST nonoverlaping imbalanced,0.2882855029925805,0.2873793909208073
110,meanshift,PATHMNIST nonoverlaping imbalanced,0.21038660775975646,0.1889705137513948
111,HDBSCAN,PATHMNIST nonoverlaping imbalanced,0.5139663645649363,0.5028214656909886
