client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,29,30,1800,0,128,295,186,1027,646,59
0,test_set,1800,10,12,819,0,56,119,77,423,258,26
1,train_set,4200,5,2423,666,159,36,12,64,53,528,254
1,test_set,1800,2,1055,285,57,14,1,35,27,233,91
2,train_set,4200,348,414,26,949,237,57,640,131,570,828
2,test_set,1800,145,207,9,422,89,21,288,33,256,330
3,train_set,4200,51,1163,462,423,262,49,191,183,1381,35
3,test_set,1800,26,455,182,164,115,9,82,93,651,23
4,train_set,4200,270,4,84,84,870,892,1448,3,477,68
4,test_set,1800,110,3,25,36,369,394,617,3,213,30
5,train_set,4200,114,3,29,224,370,1724,1489,183,52,12
5,test_set,1800,44,5,13,90,171,735,639,79,20,4
6,train_set,4200,837,373,13,0,413,133,13,1171,0,1247
6,test_set,1800,330,167,7,0,195,70,2,492,2,535
7,train_set,4200,102,183,716,810,49,285,4,756,212,1083
7,test_set,1800,37,88,303,375,31,124,0,322,80,440
8,train_set,4200,717,107,313,748,1312,7,70,765,92,69
8,test_set,1800,298,39,125,308,577,5,23,352,48,25
9,train_set,4200,1724,7,55,898,395,316,28,117,101,559
9,test_set,1800,724,4,26,384,153,173,22,52,31,231
