client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,918,586,366,67,295,68,618,473,555,254
0,test_set,1800,382,260,157,24,119,32,246,213,247,120
1,train_set,4200,265,100,714,1363,75,533,150,66,460,474
1,test_set,1800,108,54,286,578,48,252,57,38,186,193
2,train_set,4200,402,31,73,10,1538,3,1026,334,329,454
2,test_set,1800,166,13,23,2,699,0,415,154,143,185
3,train_set,4200,357,149,154,1448,782,257,73,201,421,358
3,test_set,1800,147,57,70,589,364,91,25,91,208,158
4,train_set,4200,668,627,206,5,135,46,97,1530,852,34
4,test_set,1800,288,272,84,2,69,21,34,666,351,13
5,train_set,4200,331,1011,1000,1013,159,111,22,27,61,465
5,test_set,1800,153,466,406,464,50,43,8,10,21,179
6,train_set,4200,939,523,453,175,51,624,922,144,295,74
6,test_set,1800,403,218,212,63,15,284,376,50,139,40
7,train_set,4200,289,636,192,12,45,702,116,630,869,709
7,test_set,1800,124,282,66,6,19,319,43,264,360,317
8,train_set,4200,11,358,648,78,347,741,1007,692,84,234
8,test_set,1800,3,142,263,40,153,325,459,294,30,91
9,train_set,4200,35,174,426,41,694,1068,224,86,279,1173
9,test_set,1800,11,41,201,20,343,480,82,37,110,475
