0,1,2,3,4,5,6,7,8,9,10,11
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
AJ,AH,AK,AL,AF,AE,AG,AI,AC,AD,AB,AA
