client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,363,355,344,343,373,361,339,374,332,316
0,test_set,1500,149,159,153,142,166,148,145,133,144,161
1,train_set,3500,355,314,374,318,366,371,344,375,343,340
1,test_set,1500,149,191,164,134,135,128,150,157,147,145
2,train_set,3500,363,358,328,366,389,331,325,353,344,343
2,test_set,1500,161,151,139,145,160,157,142,139,144,162
3,train_set,3500,339,335,369,337,340,342,339,357,360,382
3,test_set,1500,162,147,150,123,150,161,161,154,133,159
4,train_set,3500,329,346,345,344,344,375,384,358,349,326
4,test_set,1500,135,162,143,136,146,174,156,139,145,164
5,train_set,3500,348,327,375,363,339,340,337,355,357,359
5,test_set,1500,150,157,148,163,150,141,152,156,148,135
6,train_set,3500,357,336,350,372,335,310,363,377,344,356
6,test_set,1500,169,173,135,142,143,131,166,152,142,147
7,train_set,3500,368,344,333,351,335,370,381,334,354,330
7,test_set,1500,154,150,157,158,145,159,145,133,150,149
8,train_set,3500,327,356,347,409,347,352,325,322,367,348
8,test_set,1500,132,148,138,156,153,160,140,159,169,145
9,train_set,3500,353,327,345,357,327,342,366,334,365,384
9,test_set,1500,137,164,163,141,157,147,140,139,163,149
