client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,358,375,346,348,377,361,340,343,316,336
0,test_set,1500,154,139,151,137,162,148,144,164,160,141
1,train_set,3500,363,357,379,315,346,348,343,377,330,342
1,test_set,1500,141,148,159,137,155,151,151,155,160,143
2,train_set,3500,379,350,333,362,377,345,319,341,335,359
2,test_set,1500,145,159,134,149,172,143,148,151,153,146
3,train_set,3500,347,341,360,331,354,334,354,366,333,380
3,test_set,1500,154,141,159,129,136,169,146,145,160,161
4,train_set,3500,326,353,351,332,344,395,377,344,340,338
4,test_set,1500,138,155,137,148,146,154,163,153,154,152
5,train_set,3500,374,328,358,365,322,343,343,366,358,343
5,test_set,1500,124,156,165,161,167,138,146,145,147,151
6,train_set,3500,375,346,355,341,328,309,374,362,356,354
6,test_set,1500,151,163,130,173,150,132,155,167,130,149
7,train_set,3500,364,338,340,351,346,374,361,332,350,344
7,test_set,1500,158,156,150,158,134,155,165,135,154,135
8,train_set,3500,313,348,331,392,365,369,320,342,381,339
8,test_set,1500,146,156,154,173,135,143,145,139,155,154
9,train_set,3500,345,356,343,340,344,328,362,330,391,361
9,test_set,1500,145,135,165,158,140,161,144,143,137,172
