client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,363,362,353,340,370,341,343,351,324,353
0,test_set,1500,149,152,144,145,169,168,141,156,152,124
1,train_set,3500,368,369,390,317,347,328,333,372,333,343
1,test_set,1500,136,136,148,135,154,171,161,160,157,142
2,train_set,3500,373,369,315,362,386,339,321,342,336,357
2,test_set,1500,151,140,152,149,163,149,146,150,152,148
3,train_set,3500,359,321,353,329,328,360,362,373,348,367
3,test_set,1500,142,161,166,131,162,143,138,138,145,174
4,train_set,3500,327,353,327,352,337,384,373,366,344,337
4,test_set,1500,137,155,161,128,153,165,167,131,150,153
5,train_set,3500,365,336,380,369,343,342,339,342,342,342
5,test_set,1500,133,148,143,157,146,139,150,169,163,152
6,train_set,3500,349,353,350,347,330,314,375,394,333,355
6,test_set,1500,177,156,135,167,148,127,154,135,153,148
7,train_set,3500,363,312,350,364,347,375,392,313,341,343
7,test_set,1500,159,182,140,145,133,154,134,154,163,136
8,train_set,3500,322,348,342,413,342,348,334,332,373,346
8,test_set,1500,137,156,143,152,158,164,131,149,163,147
9,train_set,3500,357,328,345,350,343,355,346,342,362,372
9,test_set,1500,133,163,163,148,141,134,160,131,166,161
