coalition,value,iteration
"(2, 9, 1, 6, 3, 8, 5, 7, 4, 0)",0.1,0
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1971,0
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1,0
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.0985,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1013,0
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1026,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1001,0
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1,0
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1,0
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,0
"(5, 9, 6, 2, 0, 1, 7, 3, 4, 8)",0.1018,1
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1045,1
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1862,1
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1257,1
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1034,1
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.109,1
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1016,1
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1,1
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1,1
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1259,1
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.2644,1
"(2, 5, 1, 0, 3, 6, 8, 7, 4, 9)",0.3301,2
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.4233,2
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.2416,2
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.3039,2
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.2558,2
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.2655,2
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.4261,2
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.3599,2
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.3305,2
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.3231,2
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.3861,2
"(8, 4, 5, 1, 0, 7, 6, 2, 3, 9)",0.393,3
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.3403,3
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.3299,3
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.3659,3
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.4779,3
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.4186,3
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.3905,3
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.3248,3
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.4793,3
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.3921,3
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.4025,3
"(5, 3, 2, 8, 0, 7, 9, 6, 1, 4)",0.4791,4
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.4514,4
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.4884,4
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.4829,4
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.4413,4
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.5565,4
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5234,4
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5114,4
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.4237,4
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.5383,4
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.4256,4
"(6, 8, 2, 4, 3, 0, 5, 9, 7, 1)",0.5809,5
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.5486,5
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.5234,5
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.661,5
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.5252,5
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.5333,5
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.5985,5
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5452,5
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6023,5
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5901,5
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6002,5
"(7, 5, 8, 9, 6, 4, 3, 0, 2, 1)",0.7022,6
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.7135,6
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6837,6
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6765,6
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.7168,6
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6805,6
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6655,6
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6657,6
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.695,6
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.7047,6
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6835,6
"(1, 8, 9, 7, 4, 6, 2, 0, 5, 3)",0.7117,7
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6954,7
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6681,7
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.719,7
