client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,410,460,428,441,378,410,425,430,406,412
0,test_set,1800,190,207,183,203,167,168,164,171,180,167
1,train_set,4200,418,458,430,401,366,422,455,410,437,403
1,test_set,1800,161,190,196,174,182,143,189,190,186,189
2,train_set,4200,415,468,427,426,399,372,433,437,400,423
2,test_set,1800,165,200,178,173,178,166,192,200,173,175
3,train_set,4200,413,460,481,431,383,384,389,461,409,389
3,test_set,1800,174,214,164,186,185,164,172,185,175,181
4,train_set,4200,433,497,402,407,441,346,395,445,422,412
4,test_set,1800,175,194,158,183,183,149,198,195,177,188
5,train_set,4200,423,444,386,434,429,368,407,468,393,448
5,test_set,1800,175,201,166,171,176,170,207,178,153,203
6,train_set,4200,426,461,423,434,387,406,401,443,396,423
6,test_set,1800,177,206,147,185,182,166,193,191,186,167
7,train_set,4200,447,463,379,432,427,420,380,403,423,426
7,test_set,1800,170,190,185,197,203,153,180,201,161,160
8,train_set,4200,401,476,415,435,430,348,409,448,418,420
8,test_set,1800,161,242,175,184,170,134,190,188,177,179
9,train_set,4200,427,496,430,450,412,385,365,422,400,413
9,test_set,1800,162,215,205,184,164,147,174,199,179,171
