client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,578,94,1339,33,141,191,24,89,22,989
0,test_set,1500,244,31,622,16,62,82,10,41,18,374
1,train_set,3500,575,344,257,211,502,95,724,90,298,404
1,test_set,1500,228,171,117,99,193,41,305,41,120,185
2,train_set,3500,14,8,311,1078,400,187,25,113,1336,28
2,test_set,1500,4,6,142,461,152,81,5,46,588,15
3,train_set,3500,192,152,48,4,636,881,102,0,2,1483
3,test_set,1500,74,63,28,0,271,402,31,1,1,629
4,train_set,3500,524,9,864,186,129,518,114,38,1087,31
4,test_set,1500,240,3,367,77,50,248,46,15,440,14
5,train_set,3500,1,21,433,1147,51,373,622,414,240,198
5,test_set,1500,0,20,164,476,21,172,254,182,127,84
6,train_set,3500,477,890,55,55,256,1112,6,398,245,6
6,test_set,1500,221,400,18,30,114,438,6,152,114,7
7,train_set,3500,316,1737,2,80,1059,11,179,48,63,5
7,test_set,1500,151,705,2,30,460,2,81,23,42,4
8,train_set,3500,710,238,11,620,215,13,1011,579,102,1
8,test_set,1500,291,107,9,290,87,0,436,255,24,1
9,train_set,3500,118,1,139,76,138,110,711,1722,88,397
9,test_set,1500,42,0,72,31,63,43,308,753,43,145
