client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,381,511,427,1601,1,119,10,199,540,411
0,test_set,1800,144,235,199,658,0,57,4,89,224,190
1,train_set,4200,1184,377,745,6,414,544,56,115,288,471
1,test_set,1800,496,154,327,5,163,252,22,43,132,206
2,train_set,4200,7,430,1959,411,331,913,6,5,63,75
2,test_set,1800,5,168,821,202,151,402,2,0,24,25
3,train_set,4200,278,2,26,1030,738,331,594,13,666,522
3,test_set,1800,129,1,17,459,338,128,255,5,266,202
4,train_set,4200,12,901,49,0,77,767,14,1284,9,1087
4,test_set,1800,4,366,26,0,30,315,10,606,0,443
5,train_set,4200,603,329,5,43,66,823,252,1082,53,944
5,test_set,1800,278,148,1,31,26,332,98,477,18,391
6,train_set,4200,162,9,110,301,2204,0,885,108,59,362
6,test_set,1800,77,1,52,127,975,0,353,43,26,146
7,train_set,4200,80,1728,8,224,140,55,943,715,13,294
7,test_set,1800,37,741,2,108,45,17,397,292,6,155
8,train_set,4200,228,410,371,311,97,259,121,138,2259,6
8,test_set,1800,108,182,159,123,46,97,49,62,972,2
9,train_set,4200,1212,36,451,333,0,8,1296,686,166,12
9,test_set,1800,498,13,203,158,0,2,551,303,67,5
