client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,424,469,432,453,382,412,410,417,391,410
0,test_set,1800,176,198,179,191,163,166,179,184,195,169
1,train_set,4200,404,453,422,414,386,398,455,428,431,409
1,test_set,1800,175,195,204,161,162,167,189,172,192,183
2,train_set,4200,402,469,420,421,408,382,435,449,391,423
2,test_set,1800,178,199,185,178,169,156,190,188,182,175
3,train_set,4200,418,463,442,442,399,374,388,466,405,403
3,test_set,1800,169,211,203,175,169,174,173,180,179,167
4,train_set,4200,423,491,387,418,450,319,427,444,439,402
4,test_set,1800,185,200,173,172,174,176,166,196,160,198
5,train_set,4200,421,460,369,408,425,373,449,466,376,453
5,test_set,1800,177,185,183,197,180,165,165,180,170,198
6,train_set,4200,431,463,390,436,404,404,409,451,393,419
6,test_set,1800,172,204,180,183,165,168,185,183,189,171
7,train_set,4200,448,452,394,453,423,406,400,402,410,412
7,test_set,1800,169,201,170,176,207,167,160,202,174,174
8,train_set,4200,390,494,414,432,420,338,420,430,436,426
8,test_set,1800,172,224,176,187,180,144,179,206,159,173
9,train_set,4200,403,512,455,445,407,376,377,431,392,402
9,test_set,1800,186,199,180,189,169,156,162,190,187,182
