client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,277,232,946,948,228,156,444,64,839,66
0,test_set,1800,107,91,418,415,102,54,196,24,375,18
1,train_set,4200,695,80,168,1325,12,19,22,217,5,1657
1,test_set,1800,298,42,73,568,4,11,10,105,5,684
2,train_set,4200,361,248,278,408,760,185,467,508,738,247
2,test_set,1800,136,92,129,163,328,78,203,248,335,88
3,train_set,4200,506,312,254,796,548,410,555,264,425,130
3,test_set,1800,241,117,120,334,230,172,237,118,187,44
4,train_set,4200,32,1131,182,140,1002,608,1,549,395,160
4,test_set,1800,10,469,83,60,423,270,0,235,172,78
5,train_set,4200,408,294,609,134,87,1545,578,23,237,285
5,test_set,1800,175,149,239,71,41,688,227,5,92,113
6,train_set,4200,362,757,313,341,277,143,201,1434,254,118
6,test_set,1800,180,343,113,153,124,61,81,605,85,55
7,train_set,4200,26,308,549,10,86,126,439,233,1105,1318
7,test_set,1800,10,127,247,3,34,62,190,97,468,562
8,train_set,4200,608,191,899,76,399,648,360,669,102,248
8,test_set,1800,245,67,368,30,171,281,166,311,44,117
9,train_set,4200,926,656,9,17,785,356,1154,198,93,6
9,test_set,1800,397,294,3,8,359,127,469,93,44,6
