client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,236,1,392,120,375,1472,95,307,73,429
0,test_set,1500,108,1,179,36,180,631,41,117,22,185
1,train_set,3500,147,171,98,715,133,190,1188,111,345,402
1,test_set,1500,67,68,61,317,56,66,510,39,144,172
2,train_set,3500,236,255,8,16,142,746,1326,256,47,468
2,test_set,1500,97,98,3,8,53,321,578,125,21,196
3,train_set,3500,672,601,324,289,362,197,76,23,818,138
3,test_set,1500,284,261,127,140,163,74,30,11,347,63
4,train_set,3500,114,658,268,3,54,35,416,707,820,425
4,test_set,1500,44,279,96,1,14,12,175,299,415,165
5,train_set,3500,69,256,1422,91,395,142,34,182,366,543
5,test_set,1500,25,100,634,46,163,60,12,61,159,240
6,train_set,3500,705,541,71,786,64,339,54,546,307,87
6,test_set,1500,263,241,38,326,24,141,31,249,152,35
7,train_set,3500,816,411,166,821,125,54,255,407,142,303
7,test_set,1500,340,196,61,379,47,35,103,160,60,119
8,train_set,3500,71,528,259,443,1118,47,12,132,390,500
8,test_set,1500,35,229,111,203,462,21,3,39,193,204
9,train_set,3500,463,75,495,181,740,298,37,874,115,222
9,test_set,1500,208,30,187,79,330,119,24,355,64,104
