client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,422,478,429,438,398,394,412,406,426,397
0,test_set,1800,178,189,182,206,147,184,177,195,160,182
1,train_set,4200,400,442,451,407,383,384,469,420,419,425
1,test_set,1800,179,206,175,168,165,181,175,180,204,167
2,train_set,4200,414,471,419,399,397,380,447,431,427,415
2,test_set,1800,166,197,186,200,180,158,178,206,146,183
3,train_set,4200,413,481,464,432,391,377,390,457,410,385
3,test_set,1800,174,193,181,185,177,171,171,189,174,185
4,train_set,4200,418,490,371,412,431,352,411,450,443,422
4,test_set,1800,190,201,189,178,193,143,182,190,156,178
5,train_set,4200,416,462,405,431,415,378,416,443,386,448
5,test_set,1800,182,183,147,174,190,160,198,203,160,203
6,train_set,4200,428,471,408,422,382,401,415,421,422,430
6,test_set,1800,175,196,162,197,187,171,179,213,160,160
7,train_set,4200,439,468,398,449,444,390,374,422,415,401
7,test_set,1800,178,185,166,180,186,183,186,182,169,185
8,train_set,4200,423,506,427,406,410,328,416,438,423,423
8,test_set,1800,139,212,163,213,190,154,183,198,172,176
9,train_set,4200,425,495,440,455,391,364,378,432,405,415
9,test_set,1800,164,216,195,179,185,168,161,189,174,169
