client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,438,454,436,449,360,397,424,416,422,404
0,test_set,1800,162,213,175,195,185,181,165,185,164,175
1,train_set,4200,417,461,450,386,390,397,445,423,420,411
1,test_set,1800,162,187,176,189,158,168,199,177,203,181
2,train_set,4200,424,500,425,425,395,356,438,432,391,414
2,test_set,1800,156,168,180,174,182,182,187,205,182,184
3,train_set,4200,427,468,447,433,391,382,399,435,416,402
3,test_set,1800,160,206,198,184,177,166,162,211,168,168
4,train_set,4200,442,472,391,418,435,354,402,461,405,420
4,test_set,1800,166,219,169,172,189,141,191,179,194,180
5,train_set,4200,420,462,378,413,432,381,412,470,377,455
5,test_set,1800,178,183,174,192,173,157,202,176,169,196
6,train_set,4200,432,452,403,416,404,388,431,441,400,433
6,test_set,1800,171,215,167,203,165,184,163,193,182,157
7,train_set,4200,429,481,399,437,430,394,379,430,410,411
7,test_set,1800,188,172,165,192,200,179,181,174,174,175
8,train_set,4200,412,506,413,430,415,326,411,449,409,429
8,test_set,1800,150,212,177,189,185,156,188,187,186,170
9,train_set,4200,402,499,426,452,401,396,389,425,403,407
9,test_set,1800,187,212,209,182,175,136,150,196,176,177
