client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,385,430,429,415,439,409,406,437,427,423
0,test_set,1800,181,185,171,164,160,197,177,180,187,198
1,train_set,4200,414,432,420,453,438,395,428,403,402,415
1,test_set,1800,175,174,157,176,179,180,187,187,207,178
2,train_set,4200,415,407,452,419,409,432,410,422,436,398
2,test_set,1800,187,190,175,158,163,174,186,182,196,189
3,train_set,4200,441,430,397,439,448,384,410,421,400,430
3,test_set,1800,185,165,167,193,190,187,200,165,191,157
4,train_set,4200,421,428,409,447,438,449,433,409,375,391
4,test_set,1800,183,160,177,175,183,171,194,182,185,190
5,train_set,4200,420,429,428,406,401,413,431,429,417,426
5,test_set,1800,175,152,195,178,184,191,153,192,198,182
6,train_set,4200,416,419,433,442,431,406,405,407,401,440
6,test_set,1800,168,183,180,169,193,192,180,185,179,171
7,train_set,4200,421,435,440,389,393,456,429,397,420,420
7,test_set,1800,191,181,173,176,172,158,151,210,187,201
8,train_set,4200,438,418,419,409,389,419,434,405,430,439
8,test_set,1800,187,177,180,184,178,192,170,178,170,184
9,train_set,4200,422,416,408,439,427,416,436,425,417,394
9,test_set,1800,175,189,190,169,185,179,180,184,175,174
