client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,397,408,436,419,413,432,395,431,447,422
0,test_set,1800,169,207,164,160,186,174,188,186,167,199
1,train_set,4200,403,444,396,428,431,405,423,410,442,418
1,test_set,1800,186,162,181,201,186,170,192,180,167,175
2,train_set,4200,436,427,442,412,383,425,398,431,441,405
2,test_set,1800,166,170,185,165,189,181,198,173,191,182
3,train_set,4200,442,406,389,444,444,393,446,398,413,425
3,test_set,1800,184,189,175,188,194,178,164,188,178,162
4,train_set,4200,433,410,432,443,421,444,427,396,381,413
4,test_set,1800,171,178,154,179,200,176,200,195,179,168
5,train_set,4200,440,399,433,415,399,405,430,434,434,411
5,test_set,1800,155,182,190,169,186,199,154,187,181,197
6,train_set,4200,392,405,438,429,443,433,413,413,419,415
6,test_set,1800,192,197,175,182,181,165,172,179,161,196
7,train_set,4200,428,453,415,394,402,428,403,414,430,433
7,test_set,1800,184,163,198,171,163,186,177,193,177,188
8,train_set,4200,441,431,423,403,401,420,426,407,424,424
8,test_set,1800,184,164,176,190,166,191,178,176,176,199
9,train_set,4200,409,409,443,400,434,392,459,413,421,420
9,test_set,1800,188,196,155,208,178,203,157,196,171,148
