client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,261,800,73,20,285,1389,534,117,17,4
0,test_set,1500,104,312,22,12,103,613,260,68,5,1
1,train_set,3500,268,843,3,211,147,18,177,266,185,1382
1,test_set,1500,118,375,3,95,56,9,69,96,72,607
2,train_set,3500,348,175,265,537,78,14,318,1196,557,12
2,test_set,1500,142,79,113,250,29,10,160,502,210,5
3,train_set,3500,348,479,124,680,123,93,110,400,6,1137
3,test_set,1500,141,192,52,318,58,39,41,180,0,479
4,train_set,3500,189,434,139,127,380,118,565,177,863,508
4,test_set,1500,77,189,74,57,159,53,255,76,371,189
5,train_set,3500,693,162,21,140,1200,209,316,154,600,5
5,test_set,1500,256,73,10,67,489,102,127,82,292,2
6,train_set,3500,98,15,440,1441,590,598,215,64,20,19
6,test_set,1500,53,3,190,578,255,264,109,34,8,6
7,train_set,3500,304,146,1163,11,29,15,812,522,482,16
7,test_set,1500,129,65,505,6,13,3,415,177,181,6
8,train_set,3500,415,313,619,17,359,27,365,451,567,367
8,test_set,1500,187,123,309,15,148,9,150,178,232,149
9,train_set,3500,606,151,626,286,334,997,2,188,232,78
9,test_set,1500,263,71,249,132,165,420,0,72,100,28
