client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,2089,157,0,239,171,8,1306,19,192,19
0,test_set,1800,897,75,0,96,72,1,565,7,80,7
1,train_set,4200,63,893,48,20,482,389,28,2133,42,102
1,test_set,1800,27,375,24,4,195,151,13,956,23,32
2,train_set,4200,113,533,919,77,1249,420,21,6,161,701
2,test_set,1800,47,206,422,42,516,188,11,2,56,310
3,train_set,4200,111,254,667,123,631,140,254,464,1384,172
3,test_set,1800,33,124,289,51,274,62,98,205,576,88
4,train_set,4200,5,806,641,348,644,69,5,32,895,755
4,test_set,1800,4,368,268,157,271,22,0,11,408,291
5,train_set,4200,184,22,965,550,174,1187,45,416,17,640
5,test_set,1800,59,7,428,258,66,501,17,166,7,291
6,train_set,4200,754,18,0,681,27,523,196,608,324,1069
6,test_set,1800,343,7,0,325,18,193,70,257,130,457
7,train_set,4200,375,147,385,1480,319,276,1,621,376,220
7,test_set,1800,177,68,186,611,150,111,0,263,147,87
8,train_set,4200,65,1421,363,769,390,1,379,74,691,47
8,test_set,1800,26,635,132,298,155,2,171,25,342,14
9,train_set,4200,392,425,161,2,26,829,1907,0,0,458
9,test_set,1800,159,201,60,0,12,348,831,0,0,189
