client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,415,419,430,411,420,424,401,425,426,429
0,test_set,1800,151,196,170,168,179,182,182,192,188,192
1,train_set,4200,409,415,400,436,444,407,423,423,423,420
1,test_set,1800,180,191,177,193,173,168,192,167,186,173
2,train_set,4200,405,421,440,402,400,401,439,422,445,425
2,test_set,1800,197,176,187,175,172,205,157,182,187,162
3,train_set,4200,448,399,404,444,442,392,418,422,418,413
3,test_set,1800,178,196,160,188,196,179,192,164,173,174
4,train_set,4200,401,414,408,439,447,450,451,413,387,390
4,test_set,1800,203,174,178,183,174,170,176,178,173,191
5,train_set,4200,418,412,433,405,406,408,413,444,434,427
5,test_set,1800,177,169,190,179,179,196,171,177,181,181
6,train_set,4200,393,432,439,437,447,421,394,426,394,417
6,test_set,1800,191,170,174,174,177,177,191,166,186,194
7,train_set,4200,432,418,426,384,379,437,418,431,438,437
7,test_set,1800,180,198,187,181,186,177,162,176,169,184
8,train_set,4200,444,406,426,423,408,438,409,411,407,428
8,test_set,1800,181,189,173,170,159,173,195,172,193,195
9,train_set,4200,415,437,420,437,423,405,429,424,416,394
9,test_set,1800,182,168,178,171,189,190,187,185,176,174
