client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,347,836,1,143,19,574,826,57,1397,0
0,test_set,1800,160,388,3,75,12,245,354,28,535,0
1,train_set,4200,1073,0,2073,217,131,77,0,202,218,209
1,test_set,1800,432,0,878,101,56,34,1,93,104,101
2,train_set,4200,44,260,613,502,35,107,254,1217,213,955
2,test_set,1800,29,96,266,211,12,41,103,550,93,399
3,train_set,4200,61,490,1116,271,121,1549,7,404,136,45
3,test_set,1800,32,229,465,109,59,634,4,184,65,19
4,train_set,4200,1391,134,0,39,151,4,894,126,1236,225
4,test_set,1800,615,66,0,22,62,3,373,53,514,92
5,train_set,4200,64,579,0,530,5,1043,23,1111,766,79
5,test_set,1800,28,219,0,227,5,461,4,456,356,44
6,train_set,4200,17,1784,159,625,974,1,4,44,172,420
6,test_set,1800,6,767,66,255,404,1,0,21,85,195
7,train_set,4200,1170,10,23,1505,0,197,646,570,73,6
7,test_set,1800,531,4,11,643,0,63,257,249,36,6
8,train_set,4200,0,96,101,5,385,45,1475,429,1,1663
8,test_set,1800,0,40,57,3,154,33,610,206,0,697
9,train_set,4200,0,0,116,359,2406,613,117,0,0,589
9,test_set,1800,0,2,52,158,1009,275,48,0,0,256
