client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,453,173,110,180,506,264,177,934,66,637
0,test_set,1500,191,56,58,86,236,128,76,366,27,276
1,train_set,3500,74,369,472,451,916,214,132,117,291,464
1,test_set,1500,24,155,194,171,352,124,73,50,149,208
2,train_set,3500,199,388,31,540,20,221,753,311,537,500
2,test_set,1500,84,182,19,216,10,89,302,140,253,205
3,train_set,3500,100,75,822,426,108,138,1208,230,162,231
3,test_set,1500,52,32,375,164,54,75,483,112,62,91
4,train_set,3500,414,779,271,323,1093,74,169,192,71,114
4,test_set,1500,172,313,115,131,507,34,69,77,30,52
5,train_set,3500,1653,288,29,131,48,780,71,202,131,167
5,test_set,1500,684,124,8,51,23,354,34,88,46,88
6,train_set,3500,148,458,350,205,283,506,100,275,1153,22
6,test_set,1500,61,207,144,91,95,277,29,117,472,7
7,train_set,3500,320,145,984,303,185,692,103,429,308,31
7,test_set,1500,138,49,394,132,87,293,53,200,140,14
8,train_set,3500,11,606,241,749,33,217,339,92,479,733
8,test_set,1500,3,262,96,297,14,103,139,46,210,330
9,train_set,3500,158,245,208,261,305,283,481,705,274,580
9,test_set,1500,61,94,79,92,125,134,209,317,139,250
